onset	duration	trial_type	value	sample
0.0	0.0004	Comment/no USB Connection to actiCAP	1	0
4.172	0.0004	Stimulus/S  1	2	10430
6.284	0.0004	Stimulus/S  1	2	15710
6.2936	0.0004	Stimulus/S210	4	15734
8.2936	0.0004	Stimulus/S210	4	20734
10.2936	0.0004	Stimulus/S210	4	25734
12.2936	0.0004	Stimulus/S210	4	30734
14.2936	0.0004	Stimulus/S210	4	35734
16.2936	0.0004	Stimulus/S210	4	40734
18.294	0.0004	Stimulus/S210	4	45735
20.294	0.0004	Stimulus/S210	4	50735
22.294	0.0004	Stimulus/S210	4	55735
24.294	0.0004	Stimulus/S210	4	60735
26.294	0.0004	Stimulus/S210	4	65735
28.294	0.0004	Stimulus/S210	4	70735
30.2944	0.0004	Stimulus/S210	4	75736
32.2944	0.0004	Stimulus/S210	4	80736
34.2944	0.0004	Stimulus/S210	4	85736
36.2944	0.0004	Stimulus/S210	4	90736
38.2944	0.0004	Stimulus/S210	4	95736
40.2944	0.0004	Stimulus/S210	4	100736
42.2944	0.0004	Stimulus/S210	4	105736
44.2944	0.0004	Stimulus/S210	4	110736
46.2948	0.0004	Stimulus/S210	4	115737
48.2948	0.0004	Stimulus/S210	4	120737
50.2948	0.0004	Stimulus/S210	4	125737
52.2948	0.0004	Stimulus/S210	4	130737
54.2948	0.0004	Stimulus/S210	4	135737
56.2948	0.0004	Stimulus/S210	4	140737
58.2948	0.0004	Stimulus/S210	4	145737
60.2948	0.0004	Stimulus/S210	4	150737
62.2952	0.0004	Stimulus/S210	4	155738
64.2952	0.0004	Stimulus/S210	4	160738
70.3884	0.0004	Stimulus/S  1	2	175971
70.398	0.0004	Stimulus/S200	3	175995
72.398	0.0004	Stimulus/S200	3	180995
74.398	0.0004	Stimulus/S200	3	185995
76.3984	0.0004	Stimulus/S200	3	190996
78.3984	0.0004	Stimulus/S200	3	195996
80.3984	0.0004	Stimulus/S200	3	200996
82.3984	0.0004	Stimulus/S200	3	205996
84.3984	0.0004	Stimulus/S200	3	210996
86.3984	0.0004	Stimulus/S200	3	215996
88.3984	0.0004	Stimulus/S200	3	220996
